"","lab","max.dist","min.dist","mean.dist","size","mean.cl.sil","mean.sil","method","strategy"
"228",5,17.3439826175744,7.91230999411783,14.9630318091844,20,-0.0080881090892514,-0.0201496103960155,"random","Kmeans partition"
"229",21,18.872110438205,12.7142731923115,15.7290570528641,20,-0.0313996597205852,-0.0201496103960155,"random","Kmeans partition"
"230",49,17.9387185063068,10.3998544134969,14.7551184521934,20,0.0109170275819569,-0.0201496103960155,"random","Kmeans partition"
"231",15,18.7102389334038,11.577858133066,15.7673902368234,20,-0.0445961565630678,-0.0201496103960155,"random","Kmeans partition"
"232",37,18.6262231067263,11.5210546482395,15.5363499134129,20,-0.0232965768199716,-0.0201496103960155,"random","Kmeans partition"
"233",8,18.3523884413177,10.9641421292242,15.4370995696532,20,-0.0220371956625026,-0.0201496103960155,"random","Kmeans partition"
"234",22,18.1703204362831,11.2676543685637,15.2112776990016,20,-0.0100358094859831,-0.0201496103960155,"random","Kmeans partition"
"235",18,18.611759439935,11.7344830031884,15.5901301969189,20,-0.0340647931260534,-0.0201496103960155,"random","Kmeans partition"
"236",35,18.0961743065143,10.1093005633868,15.0528304206829,20,-0.0099577606300243,-0.0201496103960155,"random","Kmeans partition"
"237",44,18.2629775160848,11.6890633105123,15.1445255618807,20,-0.0107331381185985,-0.0201496103960155,"random","Kmeans partition"
"238",34,18.5305407038933,10.8002142849729,14.8535803135766,20,-0.0045239279381367,-0.0201496103960155,"random","Kmeans partition"
"239",19,18.6372327259145,10.562634654624,15.1944624578012,20,-0.0103852284115052,-0.0201496103960155,"random","Kmeans partition"
"240",7,18.9178372933573,11.7600902666003,15.4702084899569,20,-0.0251071781959149,-0.0201496103960155,"random","Kmeans partition"
"241",1,19.642430437606,10.2832319863036,15.3205809830729,20,-0.0137309730368865,-0.0201496103960155,"random","Kmeans partition"
"242",16,17.4974354928591,11.6998836882063,14.613022206329,20,-0.00386553402191493,-0.0201496103960155,"random","Kmeans partition"
"243",23,18.1299098252875,11.7395663833029,15.2729939273682,20,-0.00125947043277573,-0.0201496103960155,"random","Kmeans partition"
"244",20,19.1957907508004,10.8799236192016,15.5127156924889,20,-0.0238384902864139,-0.0201496103960155,"random","Kmeans partition"
"245",33,19.0848387369492,9.91118490856877,15.8457767137307,20,-0.038911626996943,-0.0201496103960155,"random","Kmeans partition"
"246",27,18.1305049665023,11.6362249158213,15.0959828087218,20,-0.013191542424489,-0.0201496103960155,"random","Kmeans partition"
"247",38,18.2394720130804,11.5571920349709,15.2576924457971,20,-0.0179947389653373,-0.0201496103960155,"random","Kmeans partition"
"248",50,18.7195702227311,12.1251091045361,15.5490275502113,20,-0.0168920297725348,-0.0201496103960155,"random","Kmeans partition"
"249",9,19.300553877952,12.1627607725559,15.7475132623824,20,-0.0288668259364392,-0.0201496103960155,"random","Kmeans partition"
"250",39,18.0593708436765,11.3127245090877,14.9231559510078,20,0.00240725503669727,-0.0201496103960155,"random","Kmeans partition"
"251",10,18.4297131392801,11.5789819646123,15.2870745358277,20,-0.00229561341645865,-0.0203097211557127,"maxd","Kmeans partition"
"252",18,18.8607864002799,12.2762144233485,16.0460181291187,20,-0.0273214290522609,-0.0203097211557127,"maxd","Kmeans partition"
"253",2,18.14207716862,12.1410181547794,15.222753418926,20,-0.0193662554490663,-0.0203097211557127,"maxd","Kmeans partition"
"254",8,18.1148537872232,9.69083331975157,15.1223148709187,20,-0.0118703144779039,-0.0203097211557127,"maxd","Kmeans partition"
"255",35,18.4448447761898,9.44398194279041,15.1535847525363,20,-0.00803210726052202,-0.0203097211557127,"maxd","Kmeans partition"
"256",39,17.1755035523904,12.0960563605761,15.0118269261311,20,-0.0182376251315619,-0.0203097211557127,"maxd","Kmeans partition"
"257",21,18.7814437453901,12.7388652061111,15.9853112807512,20,-0.0453655561983006,-0.0203097211557127,"maxd","Kmeans partition"
"258",9,18.5839870077728,11.2578298030272,15.8843891496371,20,-0.0260791103509117,-0.0203097211557127,"maxd","Kmeans partition"
"259",23,18.1091026422893,11.6053972129892,15.1805621042855,20,-0.0221928003737102,-0.0203097211557127,"maxd","Kmeans partition"
"260",1,20.4871750542363,12.3213923517935,16.8082260332173,20,-0.0674582956441154,-0.0203097211557127,"maxd","Kmeans partition"
"261",32,17.3426996514202,11.8070050125297,14.7858243616745,20,-0.00963437633465186,-0.0203097211557127,"maxd","Kmeans partition"
"262",17,17.7824440250974,10.5917781322587,15.2279182950118,20,-0.0142545382851613,-0.0203097211557127,"maxd","Kmeans partition"
"263",37,18.8717409165064,11.8580735819519,15.5435539772685,20,-0.0332085408262481,-0.0203097211557127,"maxd","Kmeans partition"
"264",24,17.7944326431458,11.228239953739,15.3211860266194,20,-0.00803509176900326,-0.0203097211557127,"maxd","Kmeans partition"
"265",19,18.2468750468699,10.7276733782974,14.9180058885948,20,-0.0172633630269379,-0.0203097211557127,"maxd","Kmeans partition"
"266",16,18.3251330973359,12.4955352419688,15.1717356334088,20,-0.0118604403612028,-0.0203097211557127,"maxd","Kmeans partition"
"267",26,17.4108505973614,11.299418488329,14.9304627318121,20,-0.0129727070086069,-0.0203097211557127,"maxd","Kmeans partition"
"268",7,18.7811823400591,11.541592291362,15.8811454198531,20,-0.043015292890037,-0.0203097211557127,"maxd","Kmeans partition"
"269",28,19.8148461387982,12.9629294937981,16.4105518177822,20,-0.0484259145812799,-0.0203097211557127,"maxd","Kmeans partition"
"270",42,19.0561841659815,12.4093024836362,15.9715236033494,20,-0.0418842071349446,-0.0203097211557127,"maxd","Kmeans partition"
"271",5,18.8722137417822,12.3754466395636,15.6155705145197,20,-0.02998316966426,-0.0203097211557127,"maxd","Kmeans partition"
"272",49,18.2358212612947,11.3439198619324,15.3523410511147,20,-0.0230971965077268,-0.0203097211557127,"maxd","Kmeans partition"
"273",15,18.0125625594586,11.4393275255644,15.3668678578835,20,-0.0271579048007399,-0.0203097211557127,"maxd","Kmeans partition"
"274",41,18.3603208319914,11.0803481877845,15.5503525606303,20,-0.0205581519888592,-0.0203097211557127,"maxd","Kmeans partition"
"275",38,17.9274384767804,9.91118490856877,15.0765221310068,20,-0.0108469515824824,-0.0203097211557127,"maxd","Kmeans partition"
"276",22,17.7696259704388,11.0684182684239,14.7397044353628,20,0.00138406267165782,-0.0203097211557127,"maxd","Kmeans partition"
"277",14,18.0238074583901,11.2533773640629,15.1977079963495,20,-0.0188962545496258,-0.0203097211557127,"maxd","Kmeans partition"
"278",29,18.2166113640044,11.0670441770256,14.6658156053838,20,0.000737712032600453,-0.0203097211557127,"maxd","Kmeans partition"
"279",46,18.1210367640674,11.9582293784796,15.295940289904,20,-0.0141325347058845,-0.0203097211557127,"maxd","Kmeans partition"
"280",34,17.6252776415337,11.6862324479191,14.7034597148904,20,-0.00887718345265292,-0.0203097211557127,"maxd","Kmeans partition"
"281",13,18.1233400227533,12.3809471949616,15.3691477305661,20,-0.0304767562807572,-0.0203097211557127,"maxd","Kmeans partition"
"282",33,17.9003521738954,11.7183194649948,15.0124856606678,20,-0.0149623959494439,-0.0203097211557127,"maxd","Kmeans partition"
"283",50,18.0994287427683,11.1640760436627,15.5745980064645,20,-0.0202071491016291,-0.0203097211557127,"maxd","Kmeans partition"
